C:\COSMOS\COSMOS-Telemetry\outputs\logs\2018_02_03_14_22_43_tlm.bin

TARGET	PACKET	GPS_TIME	GPS_LAT	GPS_LON	RTC	
UPBOARD	GPS	0.0	0.0	0.0	2175
UPBOARD	GPS	222241.59375	0.04818416386842728	1.8203363111235745e-38	2175
UPBOARD	GPS	0.0	0.0	0.0	2175
UPBOARD	GPS	0.0	0.0	0.0	2175
UPBOARD	GPS	222241.796875	3520.85986328125	-11748.5595703125	2175
UPBOARD	GPS	0.0	0.0	0.0	2175
UPBOARD	GPS	0.0	0.0	0.0	2175
UPBOARD	GPS	0.0	0.0	0.0	2175
UPBOARD	GPS	222241.90625	3520.85986328125	-11748.5595703125	2175
UPBOARD	GPS	0.0	0.0	0.0	2175
UPBOARD	GPS	0.0	0.0	0.0	2175
UPBOARD	GPS	222242.0	3520.85986328125	-11748.5595703125	2175
UPBOARD	GPS	0.0	0.0	0.0	2175
UPBOARD	GPS	0.0	0.0	0.0	2175
UPBOARD	GPS	0.0	0.0	0.0	2175
UPBOARD	GPS	0.04818396642804146	1.8203363111235745e-38	0.0	2175
UPBOARD	GPS	0.0	0.0	0.0	2175
UPBOARD	GPS	0.0	0.0	0.0	2175
UPBOARD	GPS	0.0	0.0	0.0	2175
UPBOARD	GPS	222242.296875	3520.85986328125	1.8235888649891188e-38	2176
UPBOARD	GPS	0.0	0.0	0.0	2176
UPBOARD	GPS	0.0	0.0	0.0	2176
UPBOARD	GPS	0.0	0.0	0.0	2176
UPBOARD	GPS	222242.40625	3520.85986328125	-11748.5595703125	2176
UPBOARD	GPS	0.0	0.0	0.0	2176
UPBOARD	GPS	0.0	0.0	0.0	2176
UPBOARD	GPS	0.0	0.0	0.0	2176
UPBOARD	GPS	222242.5	3520.85986328125	-11748.5595703125	2176
UPBOARD	GPS	0.0	0.0	0.0	2176
UPBOARD	GPS	0.0	0.0	0.0	2176
UPBOARD	GPS	0.0	0.0	0.0	2176
UPBOARD	GPS	222242.59375	3520.85986328125	-11748.5595703125	2176
UPBOARD	GPS	0.0	0.0	0.0	2176
UPBOARD	GPS	0.0	0.0	0.0	2176
UPBOARD	GPS	0.0	0.0	0.0	2176
UPBOARD	GPS	222242.703125	3520.85986328125	-11748.5595703125	2176
UPBOARD	GPS	0.0	0.0	0.0	2176
UPBOARD	GPS	0.0	0.0	0.0	2176
UPBOARD	GPS	0.0	0.0	0.0	2176
UPBOARD	GPS	222242.796875	3520.85986328125	-11748.5595703125	2176
UPBOARD	GPS	0.0	0.0	0.0	2176
UPBOARD	GPS	0.0	0.0	0.0	2176
UPBOARD	GPS	0.0	0.0	0.0	2176
UPBOARD	GPS	222242.90625	3520.85986328125	-11748.5595703125	2176
UPBOARD	GPS	0.0	0.0	0.0	2176
UPBOARD	GPS	0.0	0.0	0.0	2176
UPBOARD	GPS	0.0	0.0	0.0	2176
UPBOARD	GPS	222243.203125	3520.85986328125	-11748.5595703125	2176
UPBOARD	GPS	0.0	0.0	0.0	2176
UPBOARD	GPS	222243.296875	3520.85986328125	-11748.5595703125	2177
UPBOARD	GPS	0.0	0.0	0.0	2177
UPBOARD	GPS	0.0	0.0	0.0	2177
UPBOARD	GPS	0.0	0.0	0.0	2177
UPBOARD	GPS	222243.40625	3520.85986328125	-11748.5595703125	2177
UPBOARD	GPS	0.0	0.0	0.0	2177
UPBOARD	GPS	0.0	0.0	0.0	2177
UPBOARD	GPS	0.0	0.0	0.0	2177
UPBOARD	GPS	222243.5	3520.85986328125	-11748.5595703125	2177
UPBOARD	GPS	0.0	0.0	0.0	2177
UPBOARD	GPS	0.0	0.0	0.0	2177
UPBOARD	GPS	0.0	0.0	0.0	2177
UPBOARD	GPS	222243.59375	3520.85986328125	-11748.5595703125	2177
UPBOARD	GPS	0.0	0.0	0.0	2177
UPBOARD	GPS	0.0	0.0	0.0	2177
UPBOARD	GPS	0.0	0.0	0.0	2177
UPBOARD	GPS	222243.703125	3520.85986328125	-11748.5595703125	2177
UPBOARD	GPS	0.0	0.0	0.0	2177
UPBOARD	GPS	0.0	0.0	0.0	2177
UPBOARD	GPS	0.0	0.0	0.0	2177
UPBOARD	GPS	222243.796875	3520.85986328125	-11748.5595703125	2177
UPBOARD	GPS	0.0	0.0	0.0	2177
UPBOARD	GPS	0.0	0.0	0.0	2177
UPBOARD	GPS	0.0	0.0	0.0	2177
UPBOARD	GPS	222243.90625	3520.85986328125	-11748.5595703125	2177
UPBOARD	GPS	0.0	0.0	0.0	2177
UPBOARD	GPS	0.0	0.0	0.0	2177
UPBOARD	GPS	0.0	0.0	0.0	2177
UPBOARD	GPS	222244.09375	3520.85986328125	-11748.5595703125	2177
UPBOARD	GPS	222244.203125	3520.85986328125	-11748.5595703125	2177
UPBOARD	GPS	0.0	0.0	0.0	2178
UPBOARD	GPS	0.0	0.0	0.0	2178
UPBOARD	GPS	222244.40625	3520.85986328125	-11748.5595703125	2178
UPBOARD	GPS	0.0	0.0	0.0	2178
UPBOARD	GPS	0.0	0.0	0.0	2178
