C:\COSMOS\COSMOS-Telemetry\outputs\logs\2018_02_03_14_22_43_tlm.bin

TARGET	PACKET	TEMP	ACCEL_X	ACCEL_Y	ACCEL_Z	GYRO_X	GYRO_Y	GYRO_Z	MAG_X	MAG_Y	MAG_Z	RTC	RECEIVED_TIMEFORMATTED	
UPBOARD	IMU	22.801305770874023	0.9867059588432312	-0.03911399841308594	0.0051659997552633286	-0.11963199824094772	-0.24674099683761597	-0.6299999952316284	0.549839973449707	0.49473997950553894	-0.03856999799609184	2175	2018/02/03 14:22:43.530
UPBOARD	IMU	22.79939842224121	0.9867059588432312	-0.04132799804210663	0.008117999881505966	-0.39628100395202637	-0.08224699646234512	-0.4637500047683716	0.549839973449707	0.49473997950553894	-0.03856999799609184	2175	2018/02/03 14:22:43.564
UPBOARD	IMU	22.79558563232422	0.991133987903595	-0.03689999878406525	0.008117999881505966	-0.19440199434757233	-0.34394198656082153	-0.27125000953674316	0.549839973449707	0.49473997950553894	-0.03856999799609184	2175	2018/02/03 14:22:43.610
UPBOARD	IMU	22.784143447875977	0.9867059588432312	-0.03837599977850914	0.005903999786823988	0.06729299575090408	-0.3738499879837036	-0.65625	0.5562199950218201	0.5051800012588501	-0.03392999991774559	2175	2018/02/03 14:22:43.651
UPBOARD	IMU	22.79939842224121	0.9859679937362671	-0.03689999878406525	0.006641999818384647	-0.1420629918575287	-0.26917198300361633	-0.39375001192092896	0.5562199950218201	0.5051800012588501	-0.03392999991774559	2175	2018/02/03 14:22:43.677
UPBOARD	IMU	22.80512046813965	0.9837539792060852	-0.037637997418642044	0.0051659997552633286	-0.13458599150180817	-0.32151100039482117	-0.35875001549720764	0.5562199950218201	0.5051800012588501	-0.03392999991774559	2175	2018/02/03 14:22:43.687
UPBOARD	IMU	22.78986358642578	0.9867059588432312	-0.039851997047662735	0.0051659997552633286	-0.0747699961066246	-0.23926399648189545	-0.4987500011920929	0.5562199950218201	0.5051800012588501	-0.03392999991774559	2175	2018/02/03 14:22:43.721
UPBOARD	IMU	22.79939842224121	0.9874439835548401	-0.03616200014948845	0.005903999786823988	-0.47105100750923157	-0.2243099957704544	-0.5862500071525574	37864431616.0	1.7366385755374568e-38	0.0	2175	2018/02/03 14:22:43.733
UPBOARD	IMU	22.784143447875977	0.9881819486618042	-0.03689999878406525	0.006641999818384647	-0.2916029989719391	-0.12710899114608765	-0.4987500011920929	0.5509999990463257	0.4967699944972992	-0.037700001150369644	2175	2018/02/03 14:22:43.788
UPBOARD	IMU	22.80702781677246	0.9881819486618042	-0.037637997418642044	0.007379999849945307	0.10467799752950668	-0.12710899114608765	-0.6474999785423279	0.5509999990463257	0.4967699944972992	-0.037700001150369644	2175	2018/02/03 14:22:43.822
UPBOARD	IMU	22.801305770874023	0.9852299690246582	-0.04132799804210663	0.006641999818384647	-0.08972399681806564	-0.38880398869514465	-0.4987500011920929	0.5536099672317505	0.4976399838924408	-0.04292000085115433	2175	2018/02/03 14:22:43.851
UPBOARD	IMU	22.793678283691406	0.9852299690246582	-0.03689999878406525	0.009593999944627285	0.007476999890059233	-0.3289879858493805	-0.5600000023841858	0.5536099672317505	0.4976399838924408	-0.04292000085115433	2175	2018/02/03 14:22:43.898
UPBOARD	IMU	22.78605079650879	0.9867059588432312	-0.04058999940752983	0.006641999818384647	-0.31403398513793945	-0.3588959872722626	-0.4025000035762787	0.5536099672317505	0.4976399838924408	-0.04292000085115433	2175	2018/02/03 14:22:43.913
UPBOARD	IMU	22.793678283691406	0.9852299690246582	-0.037637997418642044	0.005903999786823988	-0.2841259837150574	-0.31403398513793945	-0.2887499928474426	0.5434600114822388	0.49706000089645386	-0.031029999256134033	2175	2018/02/03 14:22:43.949
UPBOARD	IMU	22.78986358642578	0.9852299690246582	-0.04058999940752983	0.008117999881505966	-0.3289879858493805	-0.3588959872722626	-0.612500011920929	0.5434600114822388	0.49706000089645386	-0.031029999256134033	2175	2018/02/03 14:22:43.971
UPBOARD	IMU	22.79558563232422	0.9852299690246582	-0.03689999878406525	0.006641999818384647	-0.09720099717378616	-0.2990799844264984	-0.4025000035762787	0.5434600114822388	0.49706000089645386	-0.031029999256134033	2175	2018/02/03 14:22:44.006
UPBOARD	IMU	22.793678283691406	0.9808019399642944	-0.03911399841308594	0.006641999818384647	0.08224699646234512	-0.19440199434757233	-0.4637500047683716	0.5478100180625916	0.4959000051021576	-0.03856999799609184	2175	2018/02/03 14:22:44.042
UPBOARD	IMU	22.79558563232422	0.9844919443130493	-0.04280399903655052	0.004427999723702669	-0.0747699961066246	-0.2990799844264984	-0.6037499904632568	0.5478100180625916	0.4959000051021576	-0.03856999799609184	2175	2018/02/03 14:22:44.077
UPBOARD	IMU	22.7974910736084	0.9844919443130493	-0.03911399841308594	0.007379999849945307	-0.46357399225234985	-0.24674099683761597	-0.3149999976158142	0.5478100180625916	0.4959000051021576	-0.03856999799609184	2175	2018/02/03 14:22:44.099
UPBOARD	IMU	22.78795623779297	0.9844919443130493	-0.03689999878406525	0.0051659997552633286	-0.5532979965209961	-0.20187899470329285	-0.3062500059604645	0.5524500012397766	0.5008299946784973	-0.041179999709129333	2175	2018/02/03 14:22:44.135
UPBOARD	IMU	22.80512046813965	0.9852299690246582	-0.03616200014948845	0.006641999818384647	-0.4336659908294678	-0.39628100395202637	-0.5774999856948853	0.5524500012397766	0.5008299946784973	-0.041179999709129333	2175	2018/02/03 14:22:44.169
